item,grain,horizon,ml_wins,ml_mae,baseline_to_beat,best_baseline,improvement
YMFS04258,daily,30,False,30.37645416446844,33.066428571428574,ma7,0.0813506182304924
YMFS04617,daily,30,True,124.9615397109912,717.6277142857144,ma7,0.825868570536785
YPOE00002,daily,30,True,158.11439740274858,209.41600000000005,ma30,0.2449746084217608
YPOL0004,daily,30,True,763.3195940557707,5451.387999999999,ma90,0.8599770197872962
YPOL0007,daily,30,False,1725.0148478682386,444.34566666666615,ma90,-2.8821462146997585
YPOL0277,daily,30,True,644.5598355194907,1767.2666666666664,ma90,0.6352786777022007
YPOL0278,daily,30,True,335.1279062282665,3672.165666666668,ma90,0.9087383477084596
YPOL11267,daily,30,True,4729.785141257407,6490.3533333333335,ma90,0.2712592214408347
YPOL11268,daily,30,False,592.3042149053863,592.2496666666664,ma90,-9.210345195621424e-05
YPOL11270,daily,30,True,557.4892393833943,21715.52999999999,ma30,0.9743276245441216
YPOL11271,daily,30,False,258.09371312365874,83.85122615629007,croston,-2.0779956949299536
YPOL11381,daily,30,True,1208.3239264096196,1837.555,ma90,0.3424284299465215
YPOL22555,daily,30,True,361.78397407298166,606.1296666666669,ma90,0.4031244567477341
YSPP04622,daily,30,False,1782.6565452788857,2.4392857142920548,ma7,-729.8108823964722
YSPP04623,daily,30,False,1182.2848778205707,70.66000000000031,ma90,-15.732024877166229
YSPP04624,daily,30,False,543.9442730996243,286.75,ma30,-0.8969285897109828
YSPP04625,daily,30,False,2030.4239025512009,766.034999999999,ma30,-1.6505628366213076
YSPP04626,daily,30,False,255.9760651487627,202.62806015014803,croston,-0.2632804408189252
YSPP04627,daily,30,False,415.26873285385295,355.753,ma30,-0.1672950975925796
YSPX0003,daily,30,False,518.3894204065355,31.31514285714184,ma7,-15.553953554400271
YSPX0004,daily,30,False,518.9167784903175,26.699633376701968,croston,-18.43535220761207
YSPX0005,daily,30,False,698.6557007502238,404.09666666666726,ma90,-0.728932105561102
YSTN02097,daily,30,False,37.28254141764624,6.400000000000006,ma30,-4.825397096507219
YMFS04258,daily,90,False,66.7697775401549,33.066428571428574,ma7,-1.0192618442575954
YMFS04617,daily,90,True,132.18214927267945,717.6277142857144,ma7,0.8158067941895946
YPOE00002,daily,90,True,179.31482790956738,209.41600000000005,ma30,0.1437386450435146
YPOL0004,daily,90,True,2958.3237705151696,5451.387999999999,ma90,0.4573265064759342
YPOL0007,daily,90,False,1008.0026070386302,444.34566666666615,ma90,-1.2685100421937985
YPOL0277,daily,90,False,5699.3892458719165,1767.2666666666664,ma90,-2.2249741102296863
YPOL0278,daily,90,True,3176.102673487323,3672.165666666668,ma90,0.1350873131030703
YPOL11267,daily,90,True,1530.4316928566604,6490.3533333333335,ma90,0.764199017486979
YPOL11268,daily,90,False,1022.0442738150692,592.2496666666664,ma90,-0.7256983521280775
YPOL11270,daily,90,True,7939.183505881461,21715.52999999999,ma30,0.6344006567704558
YPOL11271,daily,90,False,788.9939955142181,83.85122615629007,croston,-8.409450901094928
YPOL11381,daily,90,False,2249.2787726659462,1837.555,ma90,-0.2240606526966246
YPOL22555,daily,90,True,39.27937277569709,606.1296666666669,ma90,0.935196419288122
YSPP04622,daily,90,False,8358.286334747943,2.4392857142920548,ma7,-3425.5302689946425
YSPP04623,daily,90,False,195.1412082043225,70.66000000000031,ma90,-1.7616927286204598
YSPP04624,daily,90,False,1714.021766486905,286.75,ma30,-4.977408078419896
YSPP04625,daily,90,False,946.755134673549,766.034999999999,ma30,-0.2359162892995102
YSPP04626,daily,90,False,186.663427286474,202.62806015014803,croston,0.0787878680368564
YSPP04627,daily,90,True,236.2015262165496,355.753,ma30,0.3360519061917971
YSPX0003,daily,90,False,1061.224389105064,31.31514285714184,ma7,-32.88853737459599
YSPX0004,daily,90,False,363.1526212201461,26.699633376701968,croston,-12.601408532337082
YSPX0005,daily,90,False,3060.455615843317,404.09666666666726,ma90,-6.573573029167886
YSTN02097,daily,90,False,113.61175920375432,6.400000000000006,ma30,-16.7518373755866
YMFS04258,weekly,30,False,152.60633953894506,33.066428571428574,ma7,-3.6151443059322808
YMFS04617,weekly,30,True,484.56556085228885,717.6277142857144,ma7,0.3247674926621282
YPOE00002,weekly,30,True,67.59344105977937,209.41600000000005,ma30,0.6772288599735485
YPOL0004,weekly,30,True,886.5554070689468,5451.387999999999,ma90,0.8373707013573521
YPOL0007,weekly,30,False,1214.7595987325494,444.34566666666615,ma90,-1.7338166879071268
YPOL0277,weekly,30,True,280.51808188409086,1767.2666666666664,ma90,0.8412700883374943
YPOL0278,weekly,30,True,378.2166310819048,3672.165666666668,ma90,0.8970044749028921
YPOL11267,weekly,30,True,1197.2360394464067,6490.3533333333335,ma90,0.8155360767036196
YPOL11268,weekly,30,True,525.6581376213643,592.2496666666664,ma90,0.1124382718864095
YPOL11270,weekly,30,True,1564.434690615737,21715.52999999999,ma30,0.9279577937717506
YPOL11271,weekly,30,False,697.0417499041832,83.85122615629007,croston,-7.312839082459797
YPOL11381,weekly,30,True,278.2744723752994,1837.555,ma90,0.8485626430907922
YPOL22555,weekly,30,True,316.7297078023028,606.1296666666669,ma90,0.4774555260690051
YSPP04622,weekly,30,False,2317.0370768216417,2.4392857142920548,ma7,-948.8834282699464
YSPP04623,weekly,30,False,717.1475599257287,70.66000000000031,ma90,-9.149272005741942
YSPP04624,weekly,30,True,2.773248157515809,286.75,ma30,0.9903286899476345
YSPP04625,weekly,30,False,1598.7349314363892,766.034999999999,ma30,-1.0870259602190389
YSPP04626,weekly,30,False,416.6656834717894,202.62806015014803,croston,-1.0563079129467006
YSPP04627,weekly,30,True,209.9301668963301,355.753,ma30,0.4098990960123173
YSPX0003,weekly,30,False,128.37177781420087,31.31514285714184,ma7,-3.099351499043983
YSPX0004,weekly,30,False,84.25158108260575,26.699633376701968,croston,-2.155533257476242
YSPX0005,weekly,30,False,553.819817236973,404.09666666666726,ma90,-0.3705132036978912
YSTN02097,weekly,30,False,127.64200022037112,6.400000000000006,ma30,-18.944062534432973
YMFS04258,weekly,90,False,525.3471287031581,33.066428571428574,ma7,-14.887628371123524
YMFS04617,weekly,90,True,607.5907138996372,717.6277142857144,ma7,0.1533343796450249
YPOE00002,weekly,90,False,199.9136164859556,209.41600000000005,ma30,0.0453756327789876
YPOL0004,weekly,90,True,3210.5327967954363,5451.387999999999,ma90,0.4110614036653717
YPOL0007,weekly,90,False,2914.444634994383,444.34566666666615,ma90,-5.558958157187804
YPOL0277,weekly,90,False,6306.5355753523545,1767.2666666666664,ma90,-2.568525166180744
YPOL0278,weekly,90,True,1572.367433412619,3672.165666666668,ma90,0.5718146793633353
YPOL11267,weekly,90,True,438.4633378189847,6490.3533333333335,ma90,0.932443841606109
YPOL11268,weekly,90,False,710.3059449081527,592.2496666666664,ma90,-0.1993353223918849
YPOL11270,weekly,90,True,2986.732984007249,21715.52999999999,ma30,0.8624609676113247
YPOL11271,weekly,90,False,2039.5958418442317,83.85122615629007,croston,-23.32398350433939
YPOL11381,weekly,90,True,442.61661997772353,1837.555,ma90,0.7591274166064561
YPOL22555,weekly,90,False,614.0724470605765,606.1296666666669,ma90,-0.0131040944383894
YSPP04622,weekly,90,False,457.0771109770431,2.4392857142920548,ma7,-186.38153890664623
YSPP04623,weekly,90,False,781.9161798046807,70.66000000000031,ma90,-10.065895553420283
YSPP04624,weekly,90,False,1030.2015627458004,286.75,ma30,-2.592681997369836
YSPP04625,weekly,90,False,2395.136597468547,766.034999999999,ma30,-2.1266673160737435
YSPP04626,weekly,90,False,380.446444111898,202.62806015014803,croston,-0.8775605107702557
YSPP04627,weekly,90,True,229.9115213263385,355.753,ma30,0.3537327265649523
YSPX0003,weekly,90,False,691.7794308824596,31.31514285714184,ma7,-21.090891746473066
YSPX0004,weekly,90,False,480.1730017407172,26.699633376701968,croston,-16.984254501401313
YSPX0005,weekly,90,False,1001.6157184471922,404.09666666666726,ma90,-1.478653750622023
YSTN02097,weekly,90,False,150.01856551310635,6.400000000000006,ma30,-22.440400861422848
